order,name,out_channels_orig,in_channels_orig,groups_orig,kernel_size_orig,out_channels_pruned,in_channels_pruned,groups_pruned,kernel_size_pruned,reduced,remain_ratio,reduced_ratio
58,model.9.m.0.features.1.1.conv,32,128,1,1x1,16,64,1,1x1,16,0.5,0.5
59,model.9.m.0.features.1.2.conv,32,32,32,3x3,16,16,16,3x3,16,0.5,0.5
60,model.9.m.0.features.2.1.conv,32,128,1,1x1,16,64,1,1x1,16,0.5,0.5
61,model.9.m.0.features.2.2.conv,32,32,32,3x3,16,16,16,3x3,16,0.5,0.5
62,model.9.m.0.features.3.1.conv,32,128,1,1x1,16,64,1,1x1,16,0.5,0.5
63,model.9.m.0.features.3.2.conv,32,32,32,3x3,16,16,16,3x3,16,0.5,0.5
64,model.9.m.0.ees.0.out_conv.conv,32,32,1,1x1,16,16,1,1x1,16,0.5,0.5
65,model.9.m.0.ees.1.out_conv.conv,32,32,1,1x1,16,16,1,1x1,16,0.5,0.5
66,model.9.m.0.ees.2.out_conv.conv,32,32,1,1x1,16,16,1,1x1,16,0.5,0.5
67,model.9.m.0.ees.3.out_conv.conv,32,32,1,1x1,16,16,1,1x1,16,0.5,0.5
68,model.9.m.0.local_conv.conv,128,128,1,3x3,64,64,1,3x3,64,0.5,0.5
69,model.9.m.0.final_conv.conv,128,256,1,1x1,64,128,1,1x1,64,0.5,0.5
70,model.10.cm_frm.conv_s.0,256,512,1,1x1,256,512,1,1x1,0,1.0,0.0
71,model.10.cm_frm.conv_s.3,2,256,1,1x1,2,256,1,1x1,0,1.0,0.0
72,model.10.fusion.0,256,512,1,1x1,256,512,1,1x1,0,1.0,0.0
73,model.10.fusion.3,256,256,256,3x3,256,256,256,3x3,0,1.0,0.0
74,model.10.fusion.6,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
75,model.11.conv,384,256,128,3x3,384,256,128,3x3,0,1.0,0.0
76,model.12.cv1.conv,384,384,1,1x1,192,384,1,1x1,192,0.5,0.5
77,model.12.cv2.conv,384,576,1,1x1,384,288,1,1x1,0,1.0,0.0
78,model.12.m.0.features.0.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
79,model.12.m.0.features.0.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
80,model.12.m.0.features.1.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
81,model.12.m.0.features.1.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
82,model.12.m.0.features.2.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
83,model.12.m.0.features.2.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
84,model.12.m.0.features.3.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
85,model.12.m.0.features.3.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
86,model.12.m.0.ees.0.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
87,model.12.m.0.ees.1.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
88,model.12.m.0.ees.2.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
89,model.12.m.0.ees.3.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
90,model.12.m.0.local_conv.conv,192,192,1,3x3,96,96,1,3x3,96,0.5,0.5
91,model.12.m.0.final_conv.conv,192,384,1,1x1,96,192,1,1x1,96,0.5,0.5
92,model.13.conv,384,384,384,3x3,384,384,384,3x3,0,1.0,0.0
93,model.14.cv1.conv,384,384,1,1x1,192,384,1,1x1,192,0.5,0.5
94,model.14.cv2.conv,384,960,1,1x1,176,480,1,1x1,208,0.4583333333333333,0.5416666666666667
95,model.14.m.0.features.0.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
96,model.14.m.0.features.0.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
97,model.14.m.0.features.1.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
98,model.14.m.0.features.1.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
99,model.14.m.0.features.2.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
100,model.14.m.0.features.2.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
101,model.14.m.0.features.3.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
102,model.14.m.0.features.3.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
103,model.14.m.0.ees.0.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
104,model.14.m.0.ees.1.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
105,model.14.m.0.ees.2.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
106,model.14.m.0.ees.3.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
107,model.14.m.0.local_conv.conv,192,192,1,3x3,96,96,1,3x3,96,0.5,0.5
108,model.14.m.0.final_conv.conv,192,384,1,1x1,96,192,1,1x1,96,0.5,0.5
109,model.14.m.1.features.0.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
110,model.14.m.1.features.0.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
111,model.14.m.1.features.1.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
112,model.14.m.1.features.1.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
113,model.14.m.1.features.2.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
114,model.14.m.1.features.2.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
115,model.14.m.1.features.3.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
116,model.14.m.1.features.3.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
117,model.14.m.1.ees.0.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
118,model.14.m.1.ees.1.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
119,model.14.m.1.ees.2.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
120,model.14.m.1.ees.3.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
121,model.14.m.1.local_conv.conv,192,192,1,3x3,96,96,1,3x3,96,0.5,0.5
122,model.14.m.1.final_conv.conv,192,384,1,1x1,96,192,1,1x1,96,0.5,0.5
123,model.14.m.2.features.0.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
124,model.14.m.2.features.0.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
125,model.14.m.2.features.1.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
126,model.14.m.2.features.1.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
127,model.14.m.2.features.2.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
128,model.14.m.2.features.2.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
129,model.14.m.2.features.3.1.conv,48,192,1,1x1,24,96,1,1x1,24,0.5,0.5
130,model.14.m.2.features.3.2.conv,48,48,48,3x3,24,24,24,3x3,24,0.5,0.5
131,model.14.m.2.ees.0.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
132,model.14.m.2.ees.1.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
133,model.14.m.2.ees.2.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
134,model.14.m.2.ees.3.out_conv.conv,48,48,1,1x1,24,24,1,1x1,24,0.5,0.5
135,model.14.m.2.local_conv.conv,192,192,1,3x3,96,96,1,3x3,96,0.5,0.5
136,model.14.m.2.final_conv.conv,192,384,1,1x1,96,192,1,1x1,96,0.5,0.5
137,model.15.conv,256,384,1,1x1,256,176,1,1x1,0,1.0,0.0
138,model.16.fc1,1024,256,1,1x1,512,256,1,1x1,512,0.5,0.5
139,model.16.fc2,256,1024,1,1x1,256,512,1,1x1,0,1.0,0.0
140,model.16.dattention.conv_offset.0,64,64,64,3x3,64,64,64,3x3,0,1.0,0.0
141,model.16.dattention.conv_offset.3,2,64,1,1x1,2,64,1,1x1,0,1.0,0.0
142,model.16.dattention.proj_q,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
143,model.16.dattention.proj_k,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
144,model.16.dattention.proj_v,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
145,model.16.dattention.proj_out,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
146,model.16.dattention.rpe_table,256,256,256,3x3,256,256,256,3x3,0,1.0,0.0
147,model.17.conv,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
148,model.19.conv,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
149,model.21.cv1.conv,256,896,1,1x1,128,896,1,1x1,128,0.5,0.5
150,model.21.cv2.conv,256,384,1,1x1,168,192,1,1x1,88,0.65625,0.34375
151,model.21.m.0.cv1.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
152,model.21.m.0.cv2.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
153,model.21.m.0.cv3.conv,128,128,1,1x1,64,64,1,1x1,64,0.5,0.5
154,model.21.m.0.m.0.cv1.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
155,model.21.m.0.m.0.cv2.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
156,model.21.m.0.m.1.cv1.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
157,model.21.m.0.m.1.cv2.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
158,model.22.conv,256,256,1,1x1,224,168,1,1x1,32,0.875,0.125
159,model.24.conv,128,128,1,1x1,40,128,1,1x1,88,0.3125,0.6875
160,model.26.cv1.conv,256,640,1,1x1,128,520,1,1x1,128,0.5,0.5
161,model.26.cv2.conv,256,384,1,1x1,256,192,1,1x1,0,1.0,0.0
162,model.26.m.0.cv1.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
163,model.26.m.0.cv2.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
164,model.26.m.0.cv3.conv,128,128,1,1x1,64,64,1,1x1,64,0.5,0.5
165,model.26.m.0.m.0.cv1.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
166,model.26.m.0.m.0.cv2.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
167,model.26.m.0.m.1.cv1.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
168,model.26.m.0.m.1.cv2.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
169,model.27.conv,256,256,256,3x3,256,256,256,3x3,0,1.0,0.0
170,model.29.cv1.conv,256,512,1,1x1,128,480,1,1x1,128,0.5,0.5
171,model.29.cv2.conv,256,384,1,1x1,256,192,1,1x1,0,1.0,0.0
172,model.29.m.0.cv1.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
173,model.29.m.0.cv2.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
174,model.29.m.0.cv3.conv,128,128,1,1x1,64,64,1,1x1,64,0.5,0.5
175,model.29.m.0.m.0.cv1.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
176,model.29.m.0.m.0.cv2.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
177,model.29.m.0.m.1.cv1.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
178,model.29.m.0.m.1.cv2.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
179,model.30.conv,256,256,256,3x3,256,256,256,3x3,0,1.0,0.0
180,model.32.cv1.conv,256,512,1,1x1,128,512,1,1x1,128,0.5,0.5
181,model.32.cv2.conv,256,384,1,1x1,256,192,1,1x1,0,1.0,0.0
182,model.32.m.0.cv1.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
183,model.32.m.0.cv2.conv,64,128,1,1x1,32,64,1,1x1,32,0.5,0.5
184,model.32.m.0.cv3.conv,128,128,1,1x1,64,64,1,1x1,64,0.5,0.5
185,model.32.m.0.m.0.cv1.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
186,model.32.m.0.m.0.cv2.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
187,model.32.m.0.m.1.cv1.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
188,model.32.m.0.m.1.cv2.partial_conv3,16,16,1,3x3,8,8,1,3x3,8,0.5,0.5
189,model.33.conv1.conv,256,384,1,1x1,256,384,1,1x1,0,1.0,0.0
190,model.33.conv2.conv,256,256,1,1x1,256,256,1,1x1,0,1.0,0.0
191,model.36.conv,128,128,1,1x1,16,128,1,1x1,112,0.125,0.875
192,model.38.cv1.conv,128,384,1,1x1,64,272,1,1x1,64,0.5,0.5
